Model,Evaluator,Metric,Score
Rec-3.5,Eval-3.5,Correctness,77.71%
Rec-3.5,Eval-3.5,Completeness,87.81%
Rec-4,Eval-3.5,Correctness,80.58%
Rec-4,Eval-3.5,Completeness,91.70%
Rec-3.5,Eval-4,Correctness,74.50%
Rec-3.5,Eval-4,Completeness,87.99%
Rec-4,Eval-4,Correctness,80.94%
Rec-4,Eval-4,Completeness,90.64%
Rec-3.5,Human,Correctness,57.10%
Rec-3.5,Human,Completeness,77.21%
Rec-4,Human,Correctness,74.36%
Rec-4,Human,Completeness,86.69%
CoT-3.5,Eval-3.5,Correctness,59.06%
CoT-3.5,Eval-3.5,Completeness,79.40%
CoT-3.5,Eval-4,Correctness,59.02%
CoT-3.5,Eval-4,Completeness,79.75%
CoT-4,Eval-3.5,Correctness,72.10%
CoT-4,Eval-3.5,Completeness,90.64%
CoT-3.5,Human,Correctness,53.76%
CoT-3.5,Human,Completeness,71.91%
CoT-4,Human,Correctness,66.28%
CoT-4,Human,Completeness,82.86%
CoT-4,Eval-4,Correctness,76.32%
CoT-4,Eval-4,Completeness,90.87%